Time	VisOnly	VisMov	Mov	VisSem	VisMSem	MovSem
-62.5	-0.730083941	1.240448068	3.309703298	0.187879282	0.369933544	0.63481367
-57.5	-0.667443334	1.31643679	3.478275806	0.207688918	0.374924409	0.583620817
-52.5	-0.582622222	1.392808789	3.657699087	0.247508138	0.378539648	0.556092219
-47.5	-0.502897068	1.451285988	3.859102926	0.296932429	0.378623945	0.558542496
-42.5	-0.450085935	1.482168466	4.092906955	0.333747657	0.372808215	0.572674781
-37.5	-0.428352038	1.494535418	4.361441716	0.345051478	0.363538803	0.590250121
-32.5	-0.422253787	1.51583813	4.649269338	0.339820996	0.357027046	0.625202242
-27.5	-0.409379182	1.571677258	4.921513513	0.336490389	0.35852069	0.685569398
-22.5	-0.379830953	1.655899537	5.137202478	0.3406	0.367515356	0.758880917
-17.5	-0.343355138	1.728645354	5.266111038	0.34130962	0.377496373	0.824331364
-12.5	-0.316295906	1.753037157	5.301688605	0.328345799	0.382677875	0.873504513
-7.5	-0.305721799	1.726811037	5.268868788	0.306029339	0.382668372	0.909451674
-2.5	-0.308354307	1.674255637	5.207296527	0.287537236	0.378870895	0.930056768
2.5	-0.318237934	1.618374795	5.122936039	0.278421878	0.371072038	0.933895228
7.5	-0.330706485	1.567277648	4.959851143	0.271805545	0.360680225	0.928420319
12.5	-0.343485983	1.519462149	4.651334583	0.257482129	0.351343272	0.912237322
17.5	-0.357534942	1.472116349	4.212516287	0.233262603	0.344353679	0.87598075
22.5	-0.374319369	1.422144457	3.755663144	0.209265484	0.338917769	0.830051285
27.5	-0.391943082	1.365481928	3.392348702	0.196577153	0.33664448	0.799377313
32.5	-0.405687043	1.304116709	3.142932056	0.19443899	0.340150218	0.793112478
37.5	-0.408025986	1.252826012	2.96175041	0.197376829	0.349516902	0.799295072
42.5	-0.383074113	1.227660826	2.818458038	0.206180771	0.362806061	0.805462438
47.5	-0.307487786	1.224190704	2.716173386	0.228873252	0.374308463	0.812767118
52.5	-0.17079977	1.216382991	2.646777832	0.273383477	0.375303084	0.825939237
57.5	0.000250747	1.181045981	2.573600207	0.331114638	0.362250642	0.833518923
62.5	0.146893258	1.118748196	2.471769906	0.375775499	0.341223307	0.816251833
67.5	0.217828573	1.051267834	2.365958943	0.393995136	0.322030708	0.770966905
72.5	0.204359154	1.002801791	2.31150367	0.39884008	0.30993305	0.716177924
77.5	0.135363668	0.981613152	2.339290712	0.405657537	0.304270446	0.679241987
82.5	0.043261542	0.974560492	2.423004404	0.406164172	0.302073503	0.673500021
87.5	-0.056911138	0.957572102	2.495815699	0.376866882	0.300354613	0.685630967
92.5	-0.156752471	0.914088774	2.498019093	0.312989107	0.297203829	0.692074439
97.5	-0.240287869	0.846991384	2.417485706	0.241253793	0.295334632	0.685796038
102.5	-0.29344702	0.773123913	2.289551663	0.194026824	0.299302747	0.677349951
107.5	-0.318949451	0.706876433	2.155336758	0.176319853	0.30514314	0.673499524
112.5	-0.330292045	0.651835841	2.022878144	0.171334762	0.304648804	0.66411984
117.5	-0.335491507	0.605290274	1.87861126	0.169589323	0.297049846	0.638764797
122.5	-0.3339581	0.564199916	1.734121392	0.173419408	0.286998566	0.605738282
127.5	-0.326888646	0.528165146	1.642522088	0.185006991	0.27692257	0.57980987
132.5	-0.324052807	0.501061885	1.657544397	0.20071567	0.266646081	0.564454527
137.5	-0.335722422	0.488059433	1.779246539	0.214368167	0.256927215	0.555414989
142.5	-0.358432367	0.489114471	1.93916262	0.220525304	0.251272826	0.54961744
147.5	-0.373911848	0.497524942	2.034693899	0.218934512	0.252170918	0.549667809
152.5	-0.364993399	0.505498372	1.987210158	0.21437655	0.255954721	0.552051976
157.5	-0.331375738	0.508910282	1.787527079	0.209981591	0.259395538	0.538410558
162.5	-0.290741079	0.505468768	1.499029283	0.206932145	0.264019895	0.49641729
167.5	-0.265266376	0.491181029	1.220081967	0.20673493	0.268518153	0.436102245
172.5	-0.261563723	0.46321373	1.039388694	0.207042704	0.268663589	0.386188963
177.5	-0.260596338	0.425249241	1.005005124	0.202334244	0.262721218	0.370442224
182.5	-0.23267327	0.386402896	1.104182387	0.194529277	0.251959853	0.379419151
187.5	-0.165131793	0.356815996	1.266166718	0.204202537	0.240619915	0.388163124
192.5	-0.072920763	0.343771757	1.402246973	0.249356055	0.233998734	0.388896071
197.5	0.013419859	0.34394936	1.45432475	0.305913225	0.23429721	0.391963641
