Time	VisOnly	VisMov	Mov	VisSem	VisMSem	MovSem
12.5	-0.325520163	-0.933825781	0.233554433	0.114190963	0.118267162	0.183635188
17.5	-0.281193488	-0.936546541	0.209651371	0.127296728	0.114797702	0.168686265
22.5	-0.193342296	-0.911409452	0.209571736	0.147050905	0.118199095	0.161201771
27.5	-0.061342099	-0.865062361	0.216708822	0.165455902	0.125918962	0.166077237
32.5	0.096897253	-0.784947933	0.219108079	0.177771241	0.135148167	0.178382473
37.5	0.267368502	-0.639065683	0.222203528	0.190505704	0.144116483	0.191631748
42.5	0.460164945	-0.403338885	0.232391262	0.222495292	0.157900195	0.196192099
47.5	0.697564128	-0.089915207	0.237887672	0.273535361	0.184372792	0.189225241
52.5	0.974639281	0.252150561	0.216297074	0.318311713	0.217333787	0.177382442
57.5	1.239781118	0.564797838	0.161163774	0.339726748	0.241752928	0.165393562
62.5	1.424692943	0.811285103	0.09150589	0.340946516	0.251780163	0.160650239
67.5	1.496578558	0.984911055	0.029349456	0.329604013	0.249363393	0.172239792
72.5	1.48264449	1.100157728	-0.023847336	0.306777915	0.23443592	0.188691116
77.5	1.444709058	1.1834314	-0.080442343	0.281124424	0.211211033	0.197498645
82.5	1.427771529	1.262311276	-0.145914315	0.270346568	0.197193572	0.207416121
87.5	1.431179668	1.345049202	-0.215181811	0.27348254	0.20440051	0.223509541
92.5	1.425992651	1.406794317	-0.281917787	0.272424534	0.217749367	0.234729674
97.5	1.392706723	1.408474867	-0.342159726	0.260666119	0.218817426	0.237613394
102.5	1.339242106	1.337583633	-0.392156852	0.248711354	0.207114639	0.235340821
107.5	1.289492475	1.226852572	-0.42900048	0.244042705	0.194368268	0.222860321
112.5	1.261837388	1.131467433	-0.45434051	0.237784638	0.189320111	0.195777374
117.5	1.256758825	1.092086538	-0.473502756	0.22015427	0.189922935	0.163189867
122.5	1.259983309	1.11470293	-0.486530032	0.194619469	0.191167304	0.13810716
127.5	1.256764592	1.172568517	-0.483357662	0.178986232	0.191433937	0.123509079
132.5	1.242085422	1.223976928	-0.454224745	0.18918892	0.190450897	0.118270664
137.5	1.217353967	1.237500123	-0.401930407	0.209114116	0.187270858	0.122974627
142.5	1.186268672	1.208210473	-0.338202555	0.215993681	0.180398303	0.1379456
147.5	1.158060474	1.152071381	-0.27354619	0.217937775	0.171118093	0.167599986
152.5	1.142201783	1.087594792	-0.219140425	0.229842108	0.167047485	0.208875944
157.5	1.132526807	1.024492863	-0.192670646	0.239820329	0.176231867	0.242887969
162.5	1.108893737	0.963951047	-0.206851146	0.235877441	0.194127194	0.255321252
167.5	1.062982555	0.901846169	-0.248354214	0.225971732	0.207576411	0.250838019
172.5	1.011815137	0.83274128	-0.278600425	0.225032463	0.208251066	0.245481424
177.5	0.977257172	0.756565215	-0.262827526	0.236647852	0.198653825	0.251952492
182.5	0.960666387	0.680549138	-0.196289524	0.247473282	0.189132213	0.268380421
187.5	0.944959962	0.611098669	-0.101939876	0.246705935	0.185313622	0.282586107
192.5	0.913643172	0.546752112	-0.00857449	0.241589588	0.182994771	0.288412498
197.5	0.859172448	0.483434376	0.069666364	0.240670876	0.179733078	0.283264978
202.5	0.77713106	0.424211276	0.141501194	0.236884741	0.180239435	0.273115838
207.5	0.664797504	0.37966013	0.224289033	0.224679652	0.18647725	0.291511671
212.5	0.533677747	0.359244987	0.311667916	0.209191609	0.193438577	0.340797985
217.5	0.417346086	0.362935683	0.363789006	0.196858864	0.197452056	0.364978862
222.5	0.351786503	0.379031908	0.34508058	0.190276679	0.198598999	0.331685053
227.5	0.343481786	0.391632549	0.263447573	0.189585274	0.196927482	0.264008506
232.5	0.364307678	0.39390192	0.157172071	0.193462141	0.191797538	0.216017127
237.5	0.378322766	0.39183708	0.052558807	0.19783002	0.183627992	0.208963801
242.5	0.368315499	0.391871592	-0.048684774	0.199863871	0.174388398	0.208004981
247.5	0.340332956	0.388836159	-0.147243029	0.200719757	0.167265505	0.192565214
252.5	0.311283366	0.370898806	-0.232189499	0.202491097	0.163665257	0.175267388
257.5	0.295342743	0.334348043	-0.292465752	0.204912523	0.161790637	0.170094483
262.5	0.299766383	0.290223718	-0.324583	0.206953284	0.160170527	0.164174901
267.5	0.323955122	0.257240719	-0.31836075	0.211910027	0.160751018	0.146776931
